,gene_ID,gene_name
865492,ENSG00000250981.1,MARCHF11-AS1
865496,ENSG00000250448.1,RP11-19O2.2
865500,ENSG00000248403.1,NACAP6
865503,ENSG00000248150.1,LINC02150
865513,ENSG00000249737.1,RP1-167G20.2
865518,ENSG00000173545.5,ZNF622
865536,ENSG00000154153.15,RETREG1
865863,ENSG00000246214.2,RP11-260E18.1
865873,ENSG00000250415.1,CTC-461F20.1
865879,ENSG00000201370.1,Y_RNA
865882,ENSG00000145555.15,MYO10
866263,ENSG00000253093.1,RNA5SP179
866266,ENSG00000243538.1,RPS26P28
866269,ENSG00000201436.1,RNU6-660P
866272,ENSG00000176788.9,BASP1
866302,ENSG00000215196.5,BASP1-AS1
866334,ENSG00000271892.1,CTD-2228A4.1
866337,ENSG00000206814.1,Y_RNA
866340,ENSG00000251990.1,RNA5SP180
866343,ENSG00000250816.1,DCAF13P2
866347,ENSG00000252908.1,RNU6-1003P
866350,ENSG00000185296.8,CTD-2139B15.1
866353,ENSG00000201715.1,RN7SKP133
866356,ENSG00000223361.5,FTH1P10
866361,ENSG00000248223.1,CTD-2139B15.2
866365,ENSG00000249199.2,CTD-2139B15.5
866373,ENSG00000250822.1,LINC02111
866378,ENSG00000248455.6,LINC02217
866439,ENSG00000249662.6,LINC02218
866456,ENSG00000268799.4,H3Y2
866464,ENSG00000250667.1,RP11-321E2.12
866467,ENSG00000284373.1,TAF11L2
866474,ENSG00000248205.1,H3P17
866477,ENSG00000249620.1,H3P18
866480,ENSG00000284439.1,TAF11L3
866487,ENSG00000284283.1,TAF11L4
866494,ENSG00000284234.1,TAF11L5
866501,ENSG00000284042.1,TAF11L6
866508,ENSG00000284465.1,TAF11L7
866515,ENSG00000250088.1,RP11-432M8.1
866518,ENSG00000283967.1,TAF11L8
866525,ENSG00000283988.1,TAF11L9
866532,ENSG00000284356.1,TAF11L10
866539,ENSG00000248422.1,RP11-432M8.7
866542,ENSG00000249282.1,RP11-432M8.6
866545,ENSG00000283740.1,TAF11L11
866553,ENSG00000249156.2,TAF11L12
866561,ENSG00000271296.1,H3P19
866564,ENSG00000250351.1,H3P20
866567,ENSG00000250386.1,H3P21
866570,ENSG00000283776.1,TAF11L13
866577,ENSG00000250782.1,TAF11L14
866584,ENSG00000248471.2,RP11-432M8.15
866587,ENSG00000248160.1,RP11-432M8.14
866590,ENSG00000248542.2,RP11-432M8.16
866593,ENSG00000248337.1,RP11-432M8.18
866596,ENSG00000269466.4,H3Y1
866604,ENSG00000274832.1,RP11-432M8.21
866607,ENSG00000250715.1,H3P22
866610,ENSG00000249937.8,LINC02223
866727,ENSG00000240785.2,RPL36AP21
866732,ENSG00000212278.1,SNORD81
866735,ENSG00000241552.3,RN7SL58P
866738,ENSG00000248693.1,LINC02100
866742,ENSG00000249191.1,UBE2V1P12
866745,ENSG00000249927.1,CTD-2151L9.2
866748,ENSG00000249285.1,RP11-81B23.1
866751,ENSG00000276764.1,Metazoa_SRP
866754,ENSG00000249174.1,RP11-124N3.3
866758,ENSG00000251487.1,RP11-124N3.2
866766,ENSG00000242654.1,RPL32P14
866769,ENSG00000249557.2,HSPD1P15
866772,ENSG00000145526.12,CDH18
866995,ENSG00000248766.2,RP11-61K20.1
866998,ENSG00000214132.4,RP11-420O16.2
867001,ENSG00000249854.3,CDH18-AS1
867012,ENSG00000249490.2,LINC02146
867033,ENSG00000251629.7,LINC02241
867649,ENSG00000248308.1,RP11-697E23.1
867652,ENSG00000286751.1,RP11-774D14.2
867667,ENSG00000248286.1,RP11-811J10.1
867670,ENSG00000249359.3,RP11-374A4.1
867679,ENSG00000183666.17,GUSBP1
867717,ENSG00000233974.3,RP11-823P9.3
867720,ENSG00000279107.1,RP11-823P9.4
867723,ENSG00000272130.1,RP11-360I2.1
867726,ENSG00000253766.1,RP11-804N13.1
867732,ENSG00000154162.15,CDH12
867866,ENSG00000213430.6,HSPD1P1
867869,ENSG00000253104.1,RP11-855C21.1
867874,ENSG00000168967.14,PMCHL1
867893,ENSG00000287471.1,RP11-1330D14.1
867897,ENSG00000249206.2,GCNT1P2
867900,ENSG00000286961.1,RP11-329N11.1
867925,ENSG00000249404.1,CTD-2234B20.1
867929,ENSG00000250319.1,CTD-2272G21.3
867933,ENSG00000206912.1,Y_RNA
867936,ENSG00000250332.1,CTD-2272G21.2
867939,ENSG00000249289.1,CTD-2272G21.1
867942,ENSG00000164256.11,PRDM9
868006,ENSG00000248591.1,CTD-2351A8.1
868009,ENSG00000249607.1,RP11-197O8.1
868013,ENSG00000248874.5,C5orf17
868025,ENSG00000252083.1,ENSG10010138753.1
868028,ENSG00000234865.3,ADH5P5
868031,ENSG00000200600.1,Y_RNA
868034,ENSG00000286134.2,CTD-2015B23.3
868048,ENSG00000226432.3,CTD-2015B23.2
868051,ENSG00000250694.1,CTD-2074D8.1
868055,ENSG00000277455.1,Metazoa_SRP
868058,ENSG00000287199.1,CTD-2074D8.2
868062,ENSG00000040731.10,CDH10
868129,ENSG00000251294.1,RP11-116O11.1
868134,ENSG00000249562.1,RP11-116O11.2
868137,ENSG00000286454.1,RP11-12P19.4
868141,ENSG00000250099.1,RP11-12P19.2
868144,ENSG00000286238.1,RP11-12P19.3
868149,ENSG00000248156.2,BTG4P1
868152,ENSG00000223004.1,SNORD29
868155,ENSG00000248908.1,LINC02239
868160,ENSG00000250524.1,RP11-730N24.2
868164,ENSG00000199911.1,Y_RNA
868167,ENSG00000251273.4,LINC02228
868200,ENSG00000245662.4,LINC02211
868229,ENSG00000285042.1,RP11-549K20.2
868232,ENSG00000251654.2,RP11-192H6.2
868239,ENSG00000260761.1,RP11-184E9.2
868242,ENSG00000279671.1,RP11-184E9.3
868245,ENSG00000248605.5,CTD-2306M5.1
868258,ENSG00000279531.1,RP11-184E9.4
868261,ENSG00000201016.1,RNU6-374P
868264,ENSG00000279869.1,CTD-2026A21.1
868267,ENSG00000251593.1,MSNP1
868270,ENSG00000286625.1,RP11-124O5.2
868277,ENSG00000222560.1,RNU4-43P
868280,ENSG00000249099.1,RP11-351N6.1
868287,ENSG00000286204.1,RP11-351N6.2
868293,ENSG00000230571.2,CTD-2533K21.3
868296,ENSG00000248426.1,CTD-2533K21.2
868299,ENSG00000250703.1,CTD-2533K21.1
868302,ENSG00000251033.1,CTD-2533K21.4
868307,ENSG00000249616.1,CCNB3P1
868310,ENSG00000113100.10,CDH9
868373,ENSG00000207261.1,RNU6-738P
868376,ENSG00000250337.7,PURPL
868585,ENSG00000248490.2,CTD-3007L5.1
868592,ENSG00000250079.1,RP11-560A7.1
868595,ENSG00000249785.3,LINC02103
868606,ENSG00000250453.2,CTD-2134P3.1
868628,ENSG00000286432.1,RP11-398J12.1
868633,ENSG00000252867.1,RNU6-909P
868636,ENSG00000270495.1,CTD-2134P3.2
868639,ENSG00000259786.7,LINC02109
868727,ENSG00000271035.1,CTD-2269E23.3
868730,ENSG00000162685.6,LSP1P3
868733,ENSG00000226400.2,CTD-2269E23.2
868736,ENSG00000277878.1,CTD-2269E23.4
868739,ENSG00000249226.1,SUCLG2P4
868743,ENSG00000252601.1,ENSG10010136498.1
868746,ENSG00000248687.2,RP11-42L13.2
868750,ENSG00000270430.1,RP11-42L13.3
868753,ENSG00000286182.1,CTD-2118P12.3
868758,ENSG00000248391.6,LINC02064
868936,ENSG00000276098.1,CTD-2345H1.1
868939,ENSG00000248418.2,UBL5P1
868942,ENSG00000250984.1,CTD-2011G17.1
868945,ENSG00000249744.1,CTD-2057J6.2
868948,ENSG00000233787.3,CTD-2057J6.1
868951,ENSG00000223136.1,RN7SKP207
868954,ENSG00000280305.1,CTD-2351A16.1
868957,ENSG00000250587.2,HPRT1P2
868960,ENSG00000250118.1,RP11-136H13.2
868963,ENSG00000287176.1,CTD-2195H9.1
868968,ENSG00000287940.1,RP11-775H7.1
868972,ENSG00000241668.2,RPL19P11
868975,ENSG00000253940.1,CTD-2127O16.2
868978,ENSG00000254138.1,RP11-152K4.2
868985,ENSG00000113361.13,CDH6
869054,ENSG00000250482.3,DUX4L51
869057,ENSG00000113360.17,DROSHA
869396,ENSG00000206682.1,Y_RNA
869399,ENSG00000082213.18,C5orf22
869526,ENSG00000279923.1,CTD-2008E3.1
869529,ENSG00000199765.1,RNU6-363P
869532,ENSG00000133401.16,PDZD2
869651,ENSG00000248624.1,RP11-5N11.2
869656,ENSG00000248878.1,RP11-5N11.1
869659,ENSG00000249114.1,RP11-5N11.3
869662,ENSG00000248813.1,RP11-5N11.4
869665,ENSG00000248378.1,RP11-5N11.5
869668,ENSG00000250164.1,RP11-5N11.6
869671,ENSG00000249688.1,RP11-5N11.7
869674,ENSG00000252373.1,RNU6-358P
869677,ENSG00000224282.3,CTD-2290C23.1
869680,ENSG00000251887.2,RNU6-760P
869683,ENSG00000241739.1,CTD-2290C23.2
869686,ENSG00000243914.1,RPL5P14
869689,ENSG00000214108.4,TPT1P5
869693,ENSG00000249774.1,CTD-2206G10.2
869696,ENSG00000266243.1,MIR4279
869699,ENSG00000250764.1,CTD-2152M20.2
869706,ENSG00000113384.14,GOLPH3
869737,ENSG00000200065.1,Y_RNA
869740,ENSG00000272086.1,GOLPH3-DT
869743,ENSG00000230829.3,CTD-2186M15.1
869746,ENSG00000150712.11,MTMR12
869891,ENSG00000199731.1,RNU6-1079P
869894,ENSG00000207052.1,RNU6-378P
869897,ENSG00000056097.16,ZFR
869988,ENSG00000207956.1,MIR579
869991,ENSG00000249142.1,CTD-2290P7.1
869994,ENSG00000113387.12,SUB1
870131,ENSG00000250885.1,LINC02061
870135,ENSG00000286741.1,CTD-2004A9.2
870139,ENSG00000113389.16,NPR3
870253,ENSG00000251062.1,CTD-2218G20.1
870256,ENSG00000250697.2,CTD-2066L21.3
870277,ENSG00000248279.5,LINC02120
870291,ENSG00000249102.3,CTD-2066L21.1
870301,ENSG00000251281.1,CTD-2066L21.2
870306,ENSG00000250672.1,CTD-2017D15.1
870309,ENSG00000240376.1,RP11-36C20.1
870312,ENSG00000251443.2,LINC02160
870329,ENSG00000288579.1,RP11-15G6.1
870332,ENSG00000249572.1,CTD-2203K17.1
870336,ENSG00000113407.14,TARS1
870688,ENSG00000249360.1,TOMM40P3
870691,ENSG00000250583.1,CTD-2233C11.2
870695,ENSG00000151388.11,ADAMTS12
870836,ENSG00000201623.1,RNU6-923P
870839,ENSG00000182631.7,RXFP3
870847,ENSG00000164175.15,SLC45A2
870913,ENSG00000250914.1,RP11-1084J3.1
870917,ENSG00000242110.8,AMACR
871042,ENSG00000273294.1,C1QTNF3-AMACR
871066,ENSG00000250767.1,RP11-1084J3.3
871069,ENSG00000082196.21,C1QTNF3
871120,ENSG00000278900.1,RP11-1250I15.2
871123,ENSG00000279995.1,RP11-1250I15.1
871126,ENSG00000271771.1,RP11-1250I15.3
871129,ENSG00000215158.9,RP11-1023L17.1
871153,ENSG00000215156.5,RP11-1023L17.2
871156,ENSG00000286543.1,RP11-1108I11.1
871161,ENSG00000249380.1,RP11-1325J9.1
871164,ENSG00000271874.1,CTD-2024P10.2
871167,ENSG00000039560.14,RAI14
871683,ENSG00000250234.1,CTD-2024P10.1
871687,ENSG00000272323.1,TTC23L-AS1
871691,ENSG00000205838.14,TTC23L
871832,ENSG00000250140.1,CTD-2517O10.5
871836,ENSG00000241829.1,RPL21P54
871839,ENSG00000113456.19,RAD1
871944,ENSG00000113460.13,BRIX1
871996,ENSG00000168724.17,DNAJC21
872217,ENSG00000113492.14,AGXT2
872328,ENSG00000113494.17,PRLR
872688,ENSG00000250886.1,CTD-2046J7.1
872692,ENSG00000201368.2,U3
872695,ENSG00000152582.14,SPEF2
873153,ENSG00000238441.1,RNU7-130P
873156,ENSG00000248969.1,CTD-2113L7.1
873162,ENSG00000168685.15,IL7R
873269,ENSG00000279737.1,RP11-79C6.2
873272,ENSG00000248349.1,RP11-79C6.1
873275,ENSG00000152611.12,CAPSL
873342,ENSG00000249748.1,RP11-79C6.3
873346,ENSG00000145626.12,UGT3A1
873455,ENSG00000168671.10,UGT3A2
873527,ENSG00000251591.2,CTD-2197M16.1
873530,ENSG00000164187.7,LMBRD2
873581,ENSG00000207756.1,MIR580
873584,ENSG00000145604.17,SKP2
874115,ENSG00000201223.1,RNU6-1305P
874118,ENSG00000152620.13,NADK2
874334,ENSG00000245711.2,NADK2-AS1
874338,ENSG00000164188.9,RANBP3L
874447,ENSG00000287634.1,CTD-2009F3.1
874451,ENSG00000222178.1,RNA5SP181
874454,ENSG00000242292.2,CTD-2282P23.1
874457,ENSG00000079215.15,SLC1A3
875134,ENSG00000274441.1,CTD-2282P23.2
875139,ENSG00000250155.2,CTD-2353F22.1
875155,ENSG00000272103.2,CTD-2653M23.3
875159,ENSG00000285967.1,NIPBL-DT
875168,ENSG00000164190.19,NIPBL
875499,ENSG00000249850.1,KRT18P31
875502,ENSG00000244073.1,RPS4XP6
875505,ENSG00000197603.16,CPLANE1
876049,ENSG00000271378.1,RBISP2
876052,ENSG00000228212.1,OFD1P17
876055,ENSG00000242493.3,RN7SL37P
876058,ENSG00000286193.2,CTD-2124B8.3
876068,ENSG00000270558.1,CTD-2124B8.2
876071,ENSG00000113569.16,NUP155
876333,ENSG00000251880.1,RNU7-75P
876336,ENSG00000250455.1,RP11-648M2.1
876340,ENSG00000082068.9,WDR70
876448,ENSG00000248216.1,KCTD9P5
876451,ENSG00000222743.1,RNU6-1190P
876454,ENSG00000206743.1,RNU6-484P
876457,ENSG00000248587.8,GDNF-AS1
876491,ENSG00000168621.15,GDNF
876574,ENSG00000248539.1,LINC02117
876580,ENSG00000250032.1,CTD-2194L12.3
876584,ENSG00000251518.1,LINC02110
876588,ENSG00000248533.1,CTD-2130F23.1
876592,ENSG00000248461.3,LINC02119
876630,ENSG00000276332.1,CTD-2007F2.1
876633,ENSG00000164318.18,EGFLAM
876890,ENSG00000248730.1,EGFLAM-AS4
876896,ENSG00000249071.2,EGFLAM-AS3
876900,ENSG00000248572.6,EGFLAM-AS2
876920,ENSG00000249491.1,EGFLAM-AS1
876924,ENSG00000248234.1,CTD-2108O9.4
876927,ENSG00000251257.2,CTD-2263F21.1
876934,ENSG00000113594.10,LIFR
877091,ENSG00000244968.7,LIFR-AS1
877166,ENSG00000265304.1,MIR3650
877169,ENSG00000251189.1,CTD-2196P11.2
877173,ENSG00000249740.3,OSMR-AS1
877209,ENSG00000248577.1,RP11-122C5.2
877213,ENSG00000250629.1,RP11-122C5.3
877217,ENSG00000145623.13,OSMR
877309,ENSG00000164327.13,RICTOR
877615,ENSG00000249089.1,AIG1P1
877618,ENSG00000286809.1,CTD-2360A17.3
877624,ENSG00000082074.19,FYB1
877877,ENSG00000251215.1,GOLGA5P1
877881,ENSG00000113600.11,C9
877928,ENSG00000153071.15,DAB2
878148,ENSG00000271334.6,LINC02104
878157,ENSG00000251515.1,CCDC11P1
878160,ENSG00000250492.1,INTS6P1
878163,ENSG00000248651.1,GCSHP1
878166,ENSG00000250048.2,LINC00603
878176,ENSG00000249668.1,KRT18P56
878179,ENSG00000250585.3,LINC00604
878187,ENSG00000199361.1,RNU1-150P
878190,ENSG00000287597.1,RP11-209B12.1
878195,ENSG00000283286.1,RP11-386E5.1
878199,ENSG00000285552.1,RP11-49C20.1
878207,ENSG00000285616.1,RP11-49C20.2
878212,ENSG00000113638.14,TTC33
878277,ENSG00000199552.1,SNORA63
878280,ENSG00000171522.6,PTGER4
878305,ENSG00000132356.11,PRKAA1
878400,ENSG00000212567.1,ENSG10010134114.1
878403,ENSG00000145592.14,RPL37
878453,ENSG00000212296.1,SNORD72
878456,ENSG00000132357.14,CARD6
878479,ENSG00000112936.19,C7
878544,ENSG00000253098.1,RNU7-161P
878547,ENSG00000248120.1,RP11-301A5.2
878550,ENSG00000171495.17,MROH2B
878799,ENSG00000039537.14,C6
878923,ENSG00000182836.10,PLCXD3
878948,ENSG00000251478.1,CTD-2122P11.1
878952,ENSG00000083720.13,OXCT1
879076,ENSG00000286164.1,CTD-2062O1.4
879081,ENSG00000248668.3,OXCT1-AS1
879092,ENSG00000240281.2,CTD-2062O1.1
879095,ENSG00000205765.9,C5orf51
879140,ENSG00000151876.13,FBXO4
879224,ENSG00000239694.1,RPSAP38
879227,ENSG00000199487.1,Y_RNA
879230,ENSG00000249266.1,MTHFD2P6
879234,ENSG00000260786.1,RP11-112L7.1
879237,ENSG00000112964.14,GHR
879504,ENSG00000248873.1,SERBP1P6
879508,ENSG00000250860.1,CTD-2265D6.2
879511,ENSG00000270513.1,RP11-116B13.1
879514,ENSG00000198865.10,CCDC152
879557,ENSG00000250722.6,SELENOP
879715,ENSG00000272234.1,CTD-2325A15.5
879718,ENSG00000286271.2,CTD-2201E18.6
879735,ENSG00000249092.1,PPIAP77
879738,ENSG00000251163.1,PRELID3BP4
879741,ENSG00000251656.1,PRELID3BP5
879744,ENSG00000249516.1,PRELID3BP6
879747,ENSG00000250711.1,PRELID3BP7
879750,ENSG00000287263.1,CTD-2201E18.8
879761,ENSG00000286656.1,CTD-2201E18.7
879765,ENSG00000271788.1,CTD-2201E18.5
879768,ENSG00000177738.4,CTD-2201E18.3
879786,ENSG00000251131.2,CTD-2035E11.3
879813,ENSG00000272382.1,CTD-2035E11.4
879816,ENSG00000177721.5,ANXA2R
879833,ENSG00000215068.8,AC025171.1
879866,ENSG00000272144.1,CTD-2035E11.5
879869,ENSG00000172262.12,ZNF131
880127,ENSG00000278487.1,RP11-447H19.4
880130,ENSG00000177453.7,NIM1K
880170,ENSG00000249779.1,RP11-447H19.3
880173,ENSG00000249888.1,RP11-447H19.2
880176,ENSG00000247763.2,TUBAP14
880179,ENSG00000112972.15,HMGCS1
880252,ENSG00000261604.1,CTD-2636A23.2
880258,ENSG00000188850.9,RP11-159F24.2
880265,ENSG00000151882.11,CCL28
880304,ENSG00000151881.15,TMEM267
880370,ENSG00000249492.2,RP11-159F24.3
880381,ENSG00000172244.9,C5orf34
880443,ENSG00000249855.1,EEF1A1P19
880446,ENSG00000248554.1,C5orf34-AS1
880451,ENSG00000248240.1,RP11-159F24.5
880456,ENSG00000172239.14,PAIP1
880643,ENSG00000248092.8,NNT-AS1
880672,ENSG00000279557.1,CTD-2210P15.3
880675,ENSG00000249286.1,AMD1P3
880679,ENSG00000112992.18,NNT
881527,ENSG00000224993.3,RPL29P12
881530,ENSG00000249276.1,RP11-8L21.1
881534,ENSG00000212561.1,RNU6-381P
881537,ENSG00000070193.5,FGF10
881556,ENSG00000248464.1,FGF10-AS1
881561,ENSG00000249203.2,LINC02224
881575,ENSG00000250418.1,RP11-503D12.1
881579,ENSG00000263556.2,RN7SL383P
881582,ENSG00000251141.6,MRPS30-DT
881626,ENSG00000248779.1,RP11-53O19.2
881631,ENSG00000112996.11,MRPS30
881659,ENSG00000272335.1,RP11-53O19.3
881662,ENSG00000248148.1,RP11-357F12.1
881666,ENSG00000287540.1,RP11-357F12.2
881671,ENSG00000164588.8,HCN1
881739,ENSG00000250422.1,RP11-484L7.1
881742,ENSG00000250017.1,RP11-484L7.2
881745,ENSG00000250122.1,CTD-2013M15.1
881749,ENSG00000170571.12,EMB
881835,ENSG00000271455.1,RP11-269M20.2
881838,ENSG00000213956.4,RP11-269M20.1
881841,ENSG00000271752.1,RP11-269M20.3
881844,ENSG00000151883.19,PARP8
882406,ENSG00000249405.1,RP11-317O24.1
882410,ENSG00000270830.1,RP11-317O24.3
882413,ENSG00000251601.1,RP11-317O24.2
882418,ENSG00000250360.1,CTD-2089N3.1
882422,ENSG00000251573.2,LINC02106
882430,ENSG00000248918.2,CTD-2089N3.3
882434,ENSG00000207060.1,RNU6-480P
882437,ENSG00000278734.1,CTD-2054H24.1
882440,ENSG00000206606.1,RNU6-1296P
882443,ENSG00000240627.1,CTD-2312P21.1
882446,ENSG00000259663.2,CTD-2314G24.2
882455,ENSG00000016082.15,ISL1
882495,ENSG00000249338.1,HMGB1P47
882498,ENSG00000248891.2,CTD-2335O3.2
882501,ENSG00000288035.1,CTD-2335O3.4
882507,ENSG00000251125.1,CTD-2335O3.3
882512,ENSG00000251873.1,RNA5SP182
882515,ENSG00000249270.1,KATNBL1P4
882519,ENSG00000279470.1,RP11-182I21.2
882522,ENSG00000248789.5,LINC02118
882533,ENSG00000244621.1,RPS17P11
882536,ENSG00000250827.1,MFSD4BP1
882539,ENSG00000248898.3,CTD-2288O8.1
882550,ENSG00000152684.11,PELO
882565,ENSG00000213949.10,ITGA1
882740,ENSG00000288539.1,CTD-2288O8.3
882746,ENSG00000251237.1,B3GNTL1P1
882749,ENSG00000241809.1,CTD-2207L17.1
882752,ENSG00000249899.6,CTD-2175A23.1
882770,ENSG00000164171.11,ITGA2
883153,ENSG00000286048.1,CTD-2366F13.3
883158,ENSG00000272123.1,CTD-2366F13.2
883161,ENSG00000164172.20,MOCS2
883313,ENSG00000247796.3,CTD-2366F13.1
883347,ENSG00000213940.4,RP11-94D20.1
883350,ENSG00000285831.1,CTD-2143A15.1
883357,ENSG00000240052.1,RP11-289K10.1
883361,ENSG00000134363.12,FST
883422,ENSG00000164258.12,NDUFS4
883503,ENSG00000250447.6,LINC02105
883545,ENSG00000217791.4,ASS1P9
883548,ENSG00000272416.1,CTD-2081C10.7
883551,ENSG00000185305.11,ARL15
883629,ENSG00000287087.1,CTD-2081C10.8
883633,ENSG00000222960.1,RNU6-272P
883636,ENSG00000207627.1,MIR581
883639,ENSG00000241230.3,RN7SL801P
883642,ENSG00000265421.1,ENSG00000265421
883645,ENSG00000279638.1,CTD-2081C10.5
883648,ENSG00000249069.8,LINC01033
883770,ENSG00000251597.1,RPL37P25
883774,ENSG00000169271.3,HSPB3
883782,ENSG00000178996.14,SNX18
883809,ENSG00000280159.1,CTD-2591A1.1
883812,ENSG00000287367.1,CTD-2591A1.2
883820,ENSG00000232517.2,CSPG4BP
883832,ENSG00000226810.3,RP11-45H22.1
883835,ENSG00000249843.1,RP11-45H22.2
883838,ENSG00000249016.1,RP11-45H22.3
883842,ENSG00000164283.13,ESM1
883874,ENSG00000240535.8,CTD-2313F11.1
883970,ENSG00000113088.6,GZMK
883989,ENSG00000207229.1,Y_RNA
883992,ENSG00000251376.1,CTD-2313F11.2
883996,ENSG00000248029.2,CTD-2313F11.3
884000,ENSG00000249454.1,GZMAP1
884006,ENSG00000145649.8,GZMA
884022,ENSG00000164287.13,CDC20B
884154,ENSG00000164294.14,GPX8
884208,ENSG00000198983.1,MIR449A
884211,ENSG00000207728.1,MIR449B
884214,ENSG00000251856.1,MIR449C
884217,ENSG00000234602.9,MCIDAS
884263,ENSG00000152669.9,CCNO
884286,ENSG00000251307.1,RP11-506H20.1
884293,ENSG00000067248.10,DHX29
884458,ENSG00000039123.16,MTREX
884624,ENSG00000271410.1,RP11-506H20.2
884627,ENSG00000067113.17,PLPP1
884687,ENSG00000279883.1,CTD-2315M5.2
884690,ENSG00000265135.1,MIR5687
884693,ENSG00000250853.1,RNF138P1
884696,ENSG00000249410.1,AK4P2
884699,ENSG00000177058.12,SLC38A9
885135,ENSG00000152670.19,DDX4
885528,ENSG00000251368.1,RP11-175M2.1
885531,ENSG00000199322.1,RNA5SP183
885534,ENSG00000248854.1,HNRNPH1P3
885537,ENSG00000164509.16,IL31RA
885884,ENSG00000134352.20,IL6ST
886230,ENSG00000262211.1,CTD-2031P19.5
886235,ENSG00000264281.3,CTD-2031P19.4
886238,ENSG00000249236.2,CTD-2227I18.1
886252,ENSG00000227908.3,FLJ31104
886256,ENSG00000238326.1,ENSG10010136954.1
886259,ENSG00000164512.18,ANKRD55
886357,ENSG00000253032.1,RNU6-299P
886360,ENSG00000243592.1,RPL17P22
886363,ENSG00000223003.1,RNA5SP184
886366,ENSG00000251435.1,C1GALT1P2
886369,ENSG00000212265.1,RNA5SP185
886372,ENSG00000248781.1,PSMC1P4
886375,ENSG00000210678.1,RNU6ATAC2P
886378,ENSG00000249697.1,RP11-155L15.1
886382,ENSG00000250787.1,HMGN1P17
886385,ENSG00000248727.6,LINC01948
886407,ENSG00000285997.1,CTC-236F12.5
886411,ENSG00000226221.1,RPL26P19
886414,ENSG00000225940.7,C5orf67
886427,ENSG00000234553.1,AC022431.3
886431,ENSG00000228650.2,AC008940.1
886435,ENSG00000095015.6,MAP3K1
886485,ENSG00000237705.1,AC008937.2
886491,ENSG00000225230.1,AC008937.3
886495,ENSG00000155542.12,SETD9
886584,ENSG00000155545.20,MIER3
886791,ENSG00000271828.1,CTD-2310F14.1
886794,ENSG00000235635.1,AC016644.1
886798,ENSG00000233943.1,AC114973.1
886801,ENSG00000248652.2,RP11-101B14.4
886804,ENSG00000250480.3,RP11-101B14.1
886809,ENSG00000207293.1,Y_RNA
886812,ENSG00000062194.16,GPBP1
886974,ENSG00000248586.2,CTD-2516K3.3
886977,ENSG00000250961.2,CTD-2023N9.1
886988,ENSG00000250308.2,SALL4P1
886992,ENSG00000169067.4,ACTBL2
887000,ENSG00000249436.2,LINCR-0003
887062,ENSG00000287709.1,RP11-772C9.2
887067,ENSG00000249198.1,RP11-772C9.1
887070,ENSG00000249584.1,LINC02225
887075,ENSG00000248132.3,LINC02101
887097,ENSG00000286853.1,CTD-2037L6.3
887101,ENSG00000248271.1,PGAM1P1
887104,ENSG00000145632.15,PLK2
887230,ENSG00000175857.9,GAPT
887296,ENSG00000271257.1,CTD-2117L12.3
887299,ENSG00000265699.1,MIR548AE2
887302,ENSG00000250127.1,LINC02108
887308,ENSG00000152932.8,RAB3C
887337,ENSG00000248475.5,RP11-479O16.1
887346,ENSG00000240412.1,RPL5P15
887350,ENSG00000248733.1,CTD-2176I21.2
887355,ENSG00000113448.19,PDE4D
887895,ENSG00000247345.2,RP11-266N13.2
887899,ENSG00000276214.1,CTD-2146O16.1
887902,ENSG00000251306.1,NDUFB4P2
887905,ENSG00000202601.4,MIR582
887908,ENSG00000248935.1,CTD-2254N19.1
887917,ENSG00000202017.1,RNU6-806P
887920,ENSG00000213896.4,RP11-546M4.1
887923,ENSG00000214244.4,SETP21
887926,ENSG00000273701.1,ENSG10010139649.1
887929,ENSG00000152931.9,PART1
887985,ENSG00000275634.1,ENSG10010136203.1
887988,ENSG00000276233.1,ENSG10010135208.1
887991,ENSG00000035499.13,DEPDC1B
888090,ENSG00000251303.1,CAB39P1
888093,ENSG00000287434.1,RP11-109B6.3
888097,ENSG00000250148.1,KRT8P31
888100,ENSG00000164181.14,ELOVL7
888248,ENSG00000049167.16,ERCC8
888859,ENSG00000215032.2,GNL3LP1
888862,ENSG00000233847.1,ERCC8-AS1
888867,ENSG00000164182.12,NDUFAF2
888950,ENSG00000279985.1,CTC-436P18.4
888953,ENSG00000276945.1,CTC-436P18.5
888956,ENSG00000188725.8,SMIM15
888981,ENSG00000251279.1,SMIM15-AS1
888987,ENSG00000249279.6,LINC02057
889005,ENSG00000130449.6,ZSWIM6
889039,ENSG00000251682.1,RP11-631M6.3
889042,ENSG00000250461.1,RP11-631M6.2
889045,ENSG00000213891.3,RPL3P6
889048,ENSG00000178722.13,C5orf64
889203,ENSG00000248529.5,RP11-2O17.2
889223,ENSG00000212215.1,RNU6-913P
889226,ENSG00000251575.3,C5orf64-AS1
889237,ENSG00000249878.1,CTD-2244C20.1
889240,ENSG00000248199.2,CTD-2244C20.2
889249,ENSG00000251983.1,RN7SKP157
889252,ENSG00000068796.19,KIF2A
889833,ENSG00000288643.1,RP11-95I19.4
889851,ENSG00000086189.11,DIMT1
890237,ENSG00000086200.17,IPO11
890526,ENSG00000199279.1,RNU6-661P
890529,ENSG00000268942.2,CKS1BP3
890532,ENSG00000241991.1,RP11-95I19.2
890535,ENSG00000240436.1,RPL35AP14
890538,ENSG00000186105.8,LRRC70
890563,ENSG00000217416.4,ISCA1P1
890566,ENSG00000249579.2,RP11-586E1.1
