,gene_ID,gene_name
8763,ENSG00000182873.5,PRKCZ-AS1
8771,ENSG00000162585.17,FAAP20
8917,ENSG00000234396.3,RP11-181G12.4
8921,ENSG00000157933.10,SKI
8951,ENSG00000287356.1,RP11-181G12.8
8961,ENSG00000116151.14,MORN1
9095,ENSG00000272161.1,RP4-713A8.1
9098,ENSG00000269896.2,RP4-740C4.5
9103,ENSG00000272420.1,RP4-740C4.7
9106,ENSG00000157916.20,RER1
9234,ENSG00000157911.11,PEX10
9354,ENSG00000149527.18,PLCH2
9586,ENSG00000224387.1,RP3-395M20.2
9590,ENSG00000229393.1,RP3-395M20.3
9594,ENSG00000157881.16,PANK4
9794,ENSG00000197921.6,HES5
9806,ENSG00000272449.2,RP3-395M20.12
9812,ENSG00000238164.6,TNFRSF14-AS1
9838,ENSG00000157873.18,TNFRSF14
10004,ENSG00000225931.3,RP3-395M20.7
10009,ENSG00000228037.1,RP3-395M20.9
10014,ENSG00000157870.17,PRXL2B
10198,ENSG00000142606.16,MMEL1
10374,ENSG00000237058.1,MMEL1-AS1
10378,ENSG00000215912.12,TTC34
10421,ENSG00000285945.1,ABC14-1188822O7.2
10426,ENSG00000283259.1,ABC14-1188822O7.1
10438,ENSG00000233234.1,RP11-740P5.2
10442,ENSG00000287396.1,RP11-740P5.4
10446,ENSG00000231630.1,RP11-740P5.3
10450,ENSG00000284745.1,RP5-907A6.1
10459,ENSG00000169717.7,ACTRT2
10467,ENSG00000177133.12,PRDM16-DT
10508,ENSG00000142611.17,PRDM16
10728,ENSG00000283572.1,MIR4251
10731,ENSG00000226286.1,RP1-163G9.2
10735,ENSG00000279839.1,RP11-193J6.1
10738,ENSG00000272235.1,RP11-22L13.1
10741,ENSG00000287828.1,RP4-785P20.3
10745,ENSG00000286518.1,RP4-785P20.2
10749,ENSG00000130762.15,ARHGEF16
10882,ENSG00000272088.1,RP11-168F9.2
10885,ENSG00000162591.16,MEGF6
11138,ENSG00000207776.1,MIR551A
11141,ENSG00000238260.1,RP11-46F15.2
11146,ENSG00000158109.15,TPRG1L
11175,ENSG00000116213.16,WRAP73
11306,ENSG00000078900.15,TP73
11639,ENSG00000227589.1,TP73-AS3
11644,ENSG00000235131.1,TP73-AS2
11648,ENSG00000227372.12,TP73-AS1
11820,ENSG00000276189.1,ENSG10010138423.1
11823,ENSG00000162592.10,CCDC27
11889,ENSG00000235169.11,SMIM1
11934,ENSG00000130764.10,LRRC47
11972,ENSG00000266075.2,RN7SL574P
11975,ENSG00000272153.1,RP1-286D6.5
11978,ENSG00000116198.14,CEP104
12856,ENSG00000169598.17,DFFB
13038,ENSG00000198912.12,C1orf174
13161,ENSG00000236423.6,LINC01134
13177,ENSG00000233304.7,LINC01346
13193,ENSG00000226374.3,LINC01345
13213,ENSG00000284668.2,LINC02780
13230,ENSG00000284703.1,RP11-718D19.2
13234,ENSG00000229280.1,EEF1DP6
13237,ENSG00000235054.4,LINC01777
13313,ENSG00000284694.1,RP5-1166F10.2
13317,ENSG00000227169.2,RP1-37J18.1
13321,ENSG00000232596.3,LINC01646
13357,ENSG00000196581.11,AJAP1
13395,ENSG00000287586.1,RP1-77N19.1
13402,ENSG00000284739.1,RP4-603B14.2
13407,ENSG00000284674.1,LINC02781
13414,ENSG00000231510.1,LINC02782
13420,ENSG00000284616.1,RP4-703E10.1
13426,ENSG00000284692.2,RP1-58B11.2
13440,ENSG00000284666.1,RP1-58B11.3
13444,ENSG00000260972.1,RP1-58B11.1
13447,ENSG00000283356.1,RP3-491M17.1
13450,ENSG00000236948.2,RP11-154H17.1
13458,ENSG00000264341.1,ENSG00000264341
13461,ENSG00000264101.1,MIR4689
13464,ENSG00000131697.18,NPHP4
13765,ENSG00000069424.15,KCNAB2
14761,ENSG00000116254.18,CHD5
15057,ENSG00000285629.1,RP1-120G22.12
15073,ENSG00000116251.11,RPL22
15152,ENSG00000226944.1,RNF207-AS1
15157,ENSG00000158286.13,RNF207
15242,ENSG00000116237.16,ICMT
15292,ENSG00000225077.3,LINC00337
15307,ENSG00000173673.8,HES3
15321,ENSG00000158292.7,GPR153
15339,ENSG00000097021.20,ACOT7
15551,ENSG00000271746.1,RP1-202O8.3
15554,ENSG00000069812.11,HES2
15617,ENSG00000187017.17,ESPN
15845,ENSG00000265392.1,MIR4252
15848,ENSG00000231868.1,RP1-202O8.2
15853,ENSG00000215788.11,TNFRSF25
16167,ENSG00000171680.23,PLEKHG5
17010,ENSG00000162408.11,NOL9
17055,ENSG00000253022.1,RNU6-731P
17058,ENSG00000229519.2,RP11-58A11.2
17062,ENSG00000173662.21,TAS1R1
17113,ENSG00000204859.13,ZBTB48
17206,ENSG00000162413.16,KLHL21
17276,ENSG00000116273.6,PHF13
17293,ENSG00000041988.15,THAP3
17378,ENSG00000007923.16,DNAJC11
17534,ENSG00000228750.7,LINC01672
17555,ENSG00000284744.1,RP11-242F24.2
17560,ENSG00000237436.1,CAMTA1-DT
17565,ENSG00000171735.19,CAMTA1
17770,ENSG00000227950.1,RP11-312B8.2
17773,ENSG00000237365.1,RP11-334N17.1
17777,ENSG00000207056.1,RNU1-8P
17780,ENSG00000237402.1,CAMTA1-IT1
17784,ENSG00000237728.2,CAMTA1-AS2
17792,ENSG00000225126.1,CAMTA1-AS1
17796,ENSG00000270171.1,RP11-338N10.1
17799,ENSG00000270035.1,RP11-338N10.2
17802,ENSG00000269978.1,RP11-338N10.3
17805,ENSG00000049245.13,VAMP3
17840,ENSG00000269925.1,RP3-467L1.6
17843,ENSG00000049246.15,PER3
18079,ENSG00000236266.1,RP3-467L1.4
18084,ENSG00000049247.14,UTS2
18131,ENSG00000049249.9,TNFRSF9
18211,ENSG00000270330.1,RP5-892F13.2
18214,ENSG00000116288.13,PARK7
18357,ENSG00000200344.1,Y_RNA
18360,ENSG00000284747.1,CTA-215D11.6
18371,ENSG00000284716.1,CTA-215D11.5
18375,ENSG00000116285.13,ERRFI1
18433,ENSG00000238290.1,RP11-431K24.1
18438,ENSG00000232848.1,CTA-215D11.4
18442,ENSG00000229305.1,RP11-431K24.2
18448,ENSG00000227634.3,LINC01714
18465,ENSG00000200975.1,RNU1-7P
