steps_0_1,steps_2_3,steps_4_5,steps_6_7,steps_8_9,steps_10_11,steps_12_13,steps_14_15,steps_16_17,steps_18_19,steps_20_21,steps_22_23,steps_24_25,steps_26_27,steps_28_29,steps_30_31,steps_32_33,steps_34_35,steps_36_37,steps_38_39,steps_40_41,steps_42_43,steps_44_45,steps_46_47
58.857142857142854,58.857142857142854,58.857142857142854,58.285714285714285,58.285714285714285,58.285714285714285,58.57142857142858,58.857142857142854,58.285714285714285,58.285714285714285,58.57142857142858,60.0,61.142857142857146,61.71428571428571,62.0,61.142857142857146,61.42857142857143,59.71428571428572,61.71428571428571,61.42857142857143,61.142857142857146,60.0,57.99999999999999,54.85714285714286
69.42857142857143,69.14285714285714,67.71428571428572,68.57142857142857,67.71428571428572,67.71428571428572,68.0,69.14285714285714,69.71428571428572,69.71428571428572,71.14285714285714,71.14285714285714,70.85714285714285,70.28571428571428,70.28571428571428,70.28571428571428,69.14285714285714,70.0,69.71428571428572,68.85714285714286,70.0,68.0,66.85714285714286,64.28571428571429
71.71428571428572,71.14285714285714,71.14285714285714,70.57142857142857,70.0,70.85714285714285,70.57142857142857,71.14285714285714,71.14285714285714,71.42857142857143,72.85714285714285,73.14285714285714,72.85714285714285,72.85714285714285,73.14285714285714,71.42857142857143,71.14285714285714,71.14285714285714,71.14285714285714,71.42857142857143,71.14285714285714,71.14285714285714,70.28571428571428,66.85714285714286
74.0,75.71428571428571,74.85714285714286,74.28571428571429,74.85714285714286,74.57142857142857,74.0,74.85714285714286,73.71428571428571,76.28571428571429,77.14285714285715,76.28571428571429,76.85714285714286,77.42857142857143,77.71428571428571,75.71428571428571,76.0,74.85714285714286,75.42857142857143,76.57142857142857,75.42857142857143,73.71428571428571,72.28571428571429,69.71428571428572
74.57142857142857,74.28571428571429,74.28571428571429,72.57142857142857,73.14285714285714,72.0,72.0,72.85714285714285,74.0,75.14285714285714,76.0,75.42857142857143,76.0,75.42857142857143,75.71428571428571,75.14285714285714,75.42857142857143,73.42857142857143,73.71428571428571,71.42857142857143,72.85714285714285,72.0,71.42857142857143,67.42857142857143
76.85714285714286,75.42857142857143,75.71428571428571,76.0,75.14285714285714,75.42857142857143,75.42857142857143,76.57142857142857,77.42857142857143,76.57142857142857,77.71428571428571,78.0,77.71428571428571,77.14285714285715,76.85714285714286,76.0,75.71428571428571,76.85714285714286,75.71428571428571,77.14285714285715,76.85714285714286,75.14285714285714,74.57142857142857,71.42857142857143
76.28571428571429,76.57142857142857,76.28571428571429,76.0,76.28571428571429,76.57142857142857,76.28571428571429,76.28571428571429,76.57142857142857,78.57142857142857,80.0,79.71428571428572,78.85714285714286,78.57142857142857,79.14285714285715,76.85714285714286,75.71428571428571,76.57142857142857,77.14285714285715,77.14285714285715,76.57142857142857,76.0,76.0,70.85714285714285
77.14285714285715,76.0,75.42857142857143,75.71428571428571,76.28571428571429,76.57142857142857,75.42857142857143,75.71428571428571,76.85714285714286,76.85714285714286,77.71428571428571,77.71428571428571,78.0,78.28571428571428,77.42857142857143,77.14285714285715,77.71428571428571,76.57142857142857,77.42857142857143,76.85714285714286,75.42857142857143,75.71428571428571,74.0,71.14285714285714
78.85714285714286,77.42857142857143,78.0,77.71428571428571,77.71428571428571,77.14285714285715,77.14285714285715,77.42857142857143,79.71428571428572,79.42857142857143,80.0,80.0,78.28571428571428,78.85714285714286,78.57142857142857,76.85714285714286,75.71428571428571,75.42857142857143,75.42857142857143,76.28571428571429,76.0,76.28571428571429,74.85714285714286,72.57142857142857
78.85714285714286,76.57142857142857,76.0,75.71428571428571,76.28571428571429,76.0,74.85714285714286,76.28571428571429,78.0,80.0,80.28571428571428,79.14285714285715,81.42857142857143,79.42857142857143,79.71428571428572,80.28571428571428,79.14285714285715,79.14285714285715,77.42857142857143,77.71428571428571,77.71428571428571,77.14285714285715,74.57142857142857,73.14285714285714
78.28571428571428,76.57142857142857,76.57142857142857,76.28571428571429,75.42857142857143,75.42857142857143,75.71428571428571,76.28571428571429,78.28571428571428,78.28571428571428,80.28571428571428,80.28571428571428,80.0,80.28571428571428,79.14285714285715,78.57142857142857,78.85714285714286,77.71428571428571,75.71428571428571,77.71428571428571,77.71428571428571,75.71428571428571,72.85714285714285,72.0
77.14285714285715,76.57142857142857,75.71428571428571,76.28571428571429,75.42857142857143,75.42857142857143,75.42857142857143,76.0,78.0,78.28571428571428,79.71428571428572,79.42857142857143,78.57142857142857,79.14285714285715,77.71428571428571,78.28571428571428,77.14285714285715,77.71428571428571,77.14285714285715,78.0,76.57142857142857,76.85714285714286,74.28571428571429,72.28571428571429
78.85714285714286,78.0,76.85714285714286,76.57142857142857,76.57142857142857,77.14285714285715,76.85714285714286,77.71428571428571,78.0,78.85714285714286,79.14285714285715,79.42857142857143,78.57142857142857,78.57142857142857,78.0,78.57142857142857,77.42857142857143,78.0,77.42857142857143,76.85714285714286,78.0,76.85714285714286,75.14285714285714,71.42857142857143
79.71428571428572,79.42857142857143,79.14285714285715,78.57142857142857,78.85714285714286,77.42857142857143,78.0,78.28571428571428,80.28571428571428,81.42857142857143,81.42857142857143,81.42857142857143,80.28571428571428,81.14285714285714,79.71428571428572,80.85714285714286,79.14285714285715,78.85714285714286,79.42857142857143,80.0,79.14285714285715,78.28571428571428,77.42857142857143,73.71428571428571
83.71428571428572,82.28571428571428,81.71428571428572,81.14285714285714,81.42857142857143,81.42857142857143,82.28571428571428,83.14285714285714,84.57142857142857,84.57142857142857,86.28571428571429,85.71428571428571,85.71428571428571,85.42857142857143,83.42857142857143,84.85714285714285,84.28571428571429,83.42857142857143,83.14285714285714,82.85714285714286,82.28571428571428,81.71428571428572,78.57142857142857,76.0
82.28571428571428,80.57142857142857,80.85714285714286,80.85714285714286,80.57142857142857,80.57142857142857,80.0,80.85714285714286,82.57142857142857,84.85714285714285,85.14285714285714,84.85714285714285,84.28571428571429,84.0,83.42857142857143,82.28571428571428,81.14285714285714,82.57142857142857,84.0,83.14285714285714,82.85714285714286,82.0,81.14285714285714,78.0
83.14285714285714,82.0,81.71428571428572,81.42857142857143,81.42857142857143,81.71428571428572,81.14285714285714,82.57142857142857,82.57142857142857,84.28571428571429,85.71428571428571,85.71428571428571,85.42857142857143,84.0,83.14285714285714,82.28571428571428,82.57142857142857,81.14285714285714,80.85714285714286,82.28571428571428,80.28571428571428,82.85714285714286,82.0,78.0
83.71428571428572,80.85714285714286,79.42857142857143,80.28571428571428,79.71428571428572,80.57142857142857,79.71428571428572,81.14285714285714,81.71428571428572,83.71428571428572,85.71428571428571,85.14285714285714,84.57142857142857,83.42857142857143,83.14285714285714,83.42857142857143,83.71428571428572,82.85714285714286,84.85714285714285,83.71428571428572,82.57142857142857,82.28571428571428,79.71428571428572,75.71428571428571
82.57142857142857,83.14285714285714,81.71428571428572,82.0,81.14285714285714,81.42857142857143,82.28571428571428,82.0,82.28571428571428,84.0,86.85714285714286,86.85714285714286,85.71428571428571,86.57142857142858,85.42857142857143,86.0,83.42857142857143,83.71428571428572,84.85714285714285,84.57142857142857,83.71428571428572,82.85714285714286,80.0,77.42857142857143
80.28571428571428,80.28571428571428,78.85714285714286,78.28571428571428,78.57142857142857,78.0,78.0,79.14285714285715,80.28571428571428,81.14285714285714,81.42857142857143,81.71428571428572,80.85714285714286,79.42857142857143,79.71428571428572,81.14285714285714,80.85714285714286,81.14285714285714,82.57142857142857,82.0,81.71428571428572,81.42857142857143,76.85714285714286,74.85714285714286
80.0,77.42857142857143,78.0,77.42857142857143,77.71428571428571,77.71428571428571,78.57142857142857,79.42857142857143,80.28571428571428,81.71428571428572,82.0,81.14285714285714,82.28571428571428,81.71428571428572,82.0,81.42857142857143,79.71428571428572,79.71428571428572,79.14285714285715,80.57142857142857,80.0,78.85714285714286,77.71428571428571,74.85714285714286
