granularity,w_load_days,h_horizon_days,n_decision_points,n_positive_targets,roc_auc,youden_threshold,score_scale,threshold_rule,sensitivity,specificity,PPV,NPV
daily,90,120,36279,5432,0.6859662502178909,0.5688153982162476,MEAN of pUF over lookback W (θ~0.4–0.6),Youden optimal on this configuration,0.6439617083946981,0.6467403637306707,0.2430010420284821,0.911624931456772
weekly,90,120,5231,778,0.6860788804174073,0.5689664358273149,MEAN of pUF over lookback W (θ~0.4–0.6),Youden optimal on this configuration,0.6478149100257069,0.6465304289243207,0.2425409047160731,0.9130986362194736
biweekly,90,120,2649,391,0.6833401670445974,0.5385135958592097,MEAN of pUF over lookback W (θ~0.4–0.6),Youden optimal on this configuration,0.6777493606138107,0.6142604074402126,0.2332746478873239,0.9167217448777264
monthly_sample,90,120,1277,187,0.6814158857871757,0.3903514103543374,MEAN of pUF over lookback W (θ~0.4–0.6),Youden optimal on this configuration,0.8288770053475936,0.4761467889908257,0.2134986225895316,0.941923774954628
weekly_collapsed,90,120,4115,634,0.7073930856737385,0.4916846041495983,MEAN of pUF over lookback W (θ~0.4–0.6),Youden optimal on this configuration,0.750788643533123,0.5912094225797184,0.2506582411795682,0.9287003610108304
biweekly_collapsed,90,120,2118,346,0.6972184527459909,0.5123277542491754,MEAN of pUF over lookback W (θ~0.4–0.6),Youden optimal on this configuration,0.7138728323699421,0.6032731376975169,0.26,0.9152397260273972
monthly_collapsed,90,120,1015,159,0.7042114853347439,1.6107623935677098,SUM of monthly pUF over W months (θ~1.61),Youden optimal on this configuration,0.7044025157232704,0.6261682242990654,0.2592592592592592,0.9193825042881648
