granularity,w_load_days,h_horizon_days,n_calendar_landmarks,n_drop_no_burden_or_incomplete_W,n_drop_after_exit_time,n_drop_censor_short_followup,n_kept_adjudicable,n_positive_targets,frac_kept,frac_lost_short_fu,frac_lost_no_burden,frac_lost_after_exit,n_lost_total
monthly_collapsed,120,90,1808,489,130,228,961,114,0.5315265486725663,0.1261061946902655,0.2704646017699115,0.07190265486725664,847
daily,120,120,46843,0,272,10292,36279,5432,0.7744807121661721,0.2197126571739641,0.0,0.0058066306598638,10564
weekly,120,120,6758,0,49,1478,5231,778,0.774045575614087,0.21870375850843446,0.0,0.007250665877478544,1527
biweekly,120,120,3422,0,31,742,2649,391,0.7741087083576855,0.21683226183518411,0.0,0.009059029807130333,773
monthly_sample,120,120,1641,0,9,355,1277,187,0.7781840341255332,0.21633150517976843,0.0,0.005484460694698354,364
weekly_collapsed,120,120,7481,2480,140,1183,3678,573,0.4916455019382435,0.15813393931292608,0.3315064830904959,0.018714075658334446,3803
biweekly_collapsed,120,120,3785,1248,131,617,1789,296,0.4726552179656539,0.1630118890356671,0.3297225891677675,0.034610303830911494,1996
monthly_collapsed,120,120,1808,489,130,292,897,143,0.4961283185840708,0.16150442477876106,0.2704646017699115,0.07190265486725664,911
daily,120,180,46843,0,272,14665,31906,7522,0.6811263155647589,0.3130670537753773,0.0,0.0058066306598638,14937
weekly,120,180,6758,0,49,2094,4615,1082,0.682894347440071,0.30985498668245043,0.0,0.007250665877478544,2143
biweekly,120,180,3422,0,31,1051,2340,546,0.6838106370543542,0.3071303331385155,0.0,0.009059029807130333,1082
monthly_sample,120,180,1641,0,9,507,1125,263,0.6855575868372943,0.30895795246800734,0.0,0.005484460694698354,516
weekly_collapsed,120,180,7481,2480,140,1706,3155,787,0.4217350621574656,0.22804437909370406,0.3315064830904959,0.018714075658334446,4326
biweekly_collapsed,120,180,3785,1248,131,849,1557,390,0.41136063408190227,0.22430647291941877,0.3297225891677675,0.034610303830911494,2228
monthly_collapsed,120,180,1808,489,130,409,780,192,0.4314159292035398,0.22621681415929204,0.2704646017699115,0.07190265486725664,1028
